,Name,Movie_ID,Rating,Duration,Description,Release_Date,Total_Revenue
331,Tahet El-Tarabiza,2044027,4.8,81 minutes,"After the lawyer Asem Sinjari gets into a train accident, he's transformed into someone else called Hnko, who defends ministers in corruption cases.",7 September,
332,Saber Google,2043957,4.7,123 minutes,"Saber Ali Tmany (Mohamed Ragab) is a technology geek, who everyone calls Saber Google, his skills make him enter a world of suspicious and illegal deals with businessmen , which makes him escape to a...Read more",7 September,
333,Akhdar Yabis,2043953,6.3,73 minutes,"A week in the life of Iman, who is trying to convince her relative to attend the engagement of her little sister, on behalf of their deceased father. She insists on complying with the traditions that...Read more",25 October,
334,Party Fe Harty,2043853,3.7,104 minutes,"In a local alley, Shuman seems to have Superpower, which he has inherited from his superhero father who happens to be Iron Man. A gang member, Diab, decides to use Shuman's powers for his personal...Read more",5 July,
335,30 Youm Fi Ezz,2043798,3.3,90 minutes,"Inside a prison, a man decides to help five convicts to escape in order to help him on a 30-day mission. The mission is to retrieve a nightclub that Shafika has inherited from her late husband, and is...Read more",5 July,
336,Believe,2043491,0,119 minutes,"Matthew is a business owner in a small town going through tough economic times. As his desperate measures to save his business anger his employees, a chance meeting with a joyful boy settles his...Read more",2 December,
337,Kitabah Ala Al-Talj,2043342,0,90 minutes,"The film discusses different ideologies in terms of religion, geography and intellect reflected as well in the current rifts between different parts of the Arab world. A group of individuals strive to...Read more",17 February,
338,Asal Abyad,2042309,6.3,107 minutes,"A son of a wealthy family is kidnapped by a gang, and they get into plenty of ironic situations in order to get him back.",5 July,
339,Satow Mosalath,2037625,4,76 minutes,A comedy about a young man called Ali El-Marakby who finds one of his grandfathers' will from ancient Egypt.,27 August,
340,Rouge,2043167,5.8,Released,"The story follows the poor girl Wafaa who works in a beauty center, and has an affair with the husband of the center's owner. When she gets pregnant by him, she decides to commit suicide, but the...Read more",2 November,
341,Abo Shanab,2040051,5.9,114 minutes,The film tells the story of a female police officer who faces sexual harassment and decides to fight this widespread phenomenon. She is assigned to arrest sexual harassers in public places.,5 July,
342,Gahim Fe El Hend,2042974,6.9,107 minutes,"A Special Forces team is assembled to retrieve the Egyptian ambassador after he was kidnapped in India. It is then discovered that the team isn't from the Special Forces, but rather a musical band.",5 July,
343,Elly Ekhtasho Mato,2041322,4.2,110 minutes,"The film tells the story of seven women who live in the same boarding house and have a deep bond with one another. They discuss their personal issues, looking for love and laughter in a dark society...Read more",20 April,
344,Konghor Hobena,2040518,5.8,107 minutes,A young man who works for a freight forwarding agency finds himself responsible for a shipment of real live Kangaroos instead of small statues of Kangaroos. He has to look after the animals himself...Read more,20 April,
345,Hassan Wa Bo'loz,2041432,6.7,98 minutes,"The story of two conjoined brothers (Ali Rabea and Karim Fahmy) who are exposed to funny situations, along with their cousin (Muhammad Osama) who got involved in their problems.",14 April,
346,Hepta: El Mohadra El Akhyra,2040399,8.1,120 minutes,The renowned psychologist Dr. Shukry Mokhtar dedicates his final lecture to answering the most important question ever ...Read more,20 April,
347,El Bab Yefuwt Amal,2042090,4.7,86 minutes,"A married couple, the laywer Amal (Dora) and her veterinarian husband Tawfiq (Sherif Salama), are in constant problems, as Amal is continuing to work in the final months of her pregnancy, which leads...Read more",3 August,
348,Fas Malh We Dakh,2040159,6.1,114 minutes,"A very unlucky guy, Bakry, ends up with an abandoned and cursed theater house, and he must find a way to elevate the curse, as it affects him every time he enters the theater.",20 April,
349,Manteka Mahzoura- Kasr El Baron,2030359,7,85 minutes,"A filming crew decides to shoot a documentary about the palace of the famous Belgain millionaire, Baron Empain, in Cairo to explore its extraordinary history. Following several attempts to obtain the...Read more",16 November,
350,Khaltet Omry,2042446,0,80 minutes,"A social romance about the problems facing today's youth, like unemployment and marriage hardships, in addition to reflecting the social status of the Egyptian population in current times.",3 March,
351,Haraam El-Gasad,2040814,6.9,121 minutes,"Hassan and Fatma are a couple who work for a wealthy and powerful farm owner called Mourad. When Hassan's cousin Ali escapes from prison during the 25th of January revolution, Mourad discovers...Read more",29 March,
352,Min Talatin Sana,2041273,8.3,146 minutes,"Omar returns from abroad to divide his wealth equally between his nine family members. He tells them that his money is cursed, and that the curse follows anyone who has it. His cousin, Emad, observes...Read more",6 July,
353,Al-Meshakhsaty 2,2041620,2,95 minutes,"In the wake of the 25th of January revolution, the authorities ask the Impersonator to take on the identity of the ousted president Mohamed Morsi and a number of Muslim Brotherhood leaders in order to...Read more",17 February,
354,Akher Ayam Al-Madina,1569471,6.2,118 minutes,"In 2009, the majestic Cairo is the subject of Khaled's film-making plan, with a special focus on its people's hopes and dreams. He reminisces about his childhood when his city was picturesque...Read more",14 February,
355,Maskh,2039611,0,80 minutes,"Nasser is a police officer who breaks the law all the time. During one such time, the businessman, Ra'ouf Al-Qattan, starts to apply the law of the jungle to their dealings, sending them into...Read more",1 January,
356,Tofahet Hawa,2041988,4.4,70 minutes,"A story of two young women who enjoy a close friendship. One of them is infatuated with the other one's lifestyle, and dreams of having the same life. Eventually, she enters the world she was...Read more",20 July,
357,Kedbet Kol Youm,2040734,6.9,98 minutes,"Hisham and Hadia, who work at the same advertising agency, an invitation to spend a vacation in Marsa Alam, in a resort owned by Sherihan. Hisham takes his wife, Aida, and Hadia takes her husband,...Read more",20 January,
358,Asad Sinaa,2012454,5.8,90 minutes,"The 1973 October war saw many tales of heroism, including that of Sayed Zakareya Khalil, an Egyptian paratrooper whose battalion was decimated during the war. Despite the setback, he still managed to...Read more",27 January,
359,Shaaket Dabows,2028512,5.8,82 minutes,"After a long stay in Kuwait, (Saif) decides to return to Egypt to settle and start establishing a chain of pharmacies. In the midst of his work, he enters a love relationship but leads to an...Read more",6 January,
360,El Haram El Rabea,2041500,7,92 minutes,"This suspense-thriller looks into the hidden world of online hacking through several methods, such as social media, different forums, and so on. Yusuf, a brilliant engineering student, is behind a lot...Read more",3 February,
