,Name,Movie_ID,Rating,Duration,Description,Release_Date,Total_Revenue
460,Warda,2034029,6.6,75 minutes,"A supernatural thriller that follows a girl who falls victim to a demonic possession, which turns her life and the lives of people surrounding her into a nightmare. Her brother tries to help by...Read more",13 November,
461,Tampola,2032926,3.9,95 minutes,"The story of the stingy fraud Tambola Al-Far who partners up with his wife Marzouka to defraud whoever they can. As he cooperates with Colonel Farid to cover his crimes, he clashes with chief Ezzat...Read more",1 January,
462,Zigzag,2005930,4.3,150 minutes,A social drama about four middle-class girls who lead simple lives with their families. Although they have independent love relationships and face the challenges that common people face in their daily...Read more,24 December,
463,Wesh Sogoon,2027711,6.2,97 minutes,"The film follows a man in jail who gets sentenced to death by hanging for committing rape, and the details of his life inside the jail and his relationships with his mates.",3 October,
464,E'dam Baree',2033777,4.4,92 minutes,The film focuses on the life of two brothers. One of them worked in the police force and the other is a Doctor specializing in medical analysis which leads him to the discovery of carcinogenic...Read more,4 October,
465,El Nabatshy,2029989,4.8,100 minutes,"Saad is a master of ceremonies who introduces singers and dance numbers on stage at local weddings. He aspires to gain wealth to escape his poor neighborhood and marry the girl he loves, but many...Read more",2 October,
466,The Best is Yet to Come,2033386,4.3,90 minutes,A TV presenter discusses several issues concerning the Arab region and Arab identity through the representation of a Kuwaiti student who travels to Egypt to resume his studies and crosses paths with...Read more,11 September,
467,Om Amira,2033593,0,25 minutes,"The film follows a woman called Halima Mohamed Ahmed, known as “Om Amira” (Amira's Mother), who lives in a Cairo outskirt with her daughter, who suffers from heart disease, and her impeded,...Read more",15 June,
468,Ababeel,2032773,5.9,50 minutes,A documentary that tells the truth about the airstrike waged by former president Hosni Mubarak in the October War of 1973.,13 October,
469,Wahed Sa'idy,1341537,4.5,85 minutes,A man from Upper Egypt (Mohamed Ramadan) leaves his hometown and goes to Cairo in search for a living. He manages to get a job as a security guard at a hotel. When he accidentally knows that a guest...Read more,2 October,
470,HIV,2033574,5.8,50 minutes,"The film follows the story of Youssef, an HIV patient, from when he started his journey with disease, to how he faced his family and the society at large after he got his diagnosis, to his...Read more",1 January,
471,El Gezira 2,2020240,8.1,165 minutes,"Mansour Al-Hefni (Ahmad al-Saqqa) escapes from prison and reunites with his brother Fadl and his son Ali, and return to the island to recover what they have lost. Mansour must stand against his old...Read more",1 October,
472,Romio El-Sayeda,2028402,0,83 minutes,"Ramy, who is known as “Romeo of Sayeda”, lives in Al-Sayeda Zainab. He meets Dr. Hanan, who is trying to uncover a big corruption plot by several authority figures. With Romeo's help, Hanan finds...Read more",1 April,
473,Omar we Salwa,2031108,2.9,102 minutes,"A romantic comedy about a love story between Omar and Salwa, who tries to fulfill her only dream of becoming a show dancer. But Omar rejects that idea, and tries hard to keep her away from it, but...Read more",2 October,
474,Hamaty Bet-hebbeny,2029813,3.8,96 minutes,"A plastic surgeon gets into trouble because of his extreme passion with women, so he decides to visit a shrink, who eventually discovers that he is in a relationship with her daughter, so she decides...Read more",2 October,
475,Hadeed,2033156,6.1,120 minutes,"Ammar (Amr Saad) is young artist, who falls in love with wealthy girl Nadine (Dorra), but her rich uncle Mahdy disapproves . They decide to get married without his knowledge. But Mahdy's men...Read more",3 October,
476,Al-Mowaten Bors,2030601,2.3,95 minutes,"The film follows an unemployed man called Bors (Gecko), who comes from one of Cairo's slums, and the hardships he faces while trying to get married to the girl he loves.",1 October,
477,An Yahood Masr; Nehayet Rehla,2033060,0,Released,"The film follows the stories of twelve Jewish women who are still living in Egypt till now, and refuse leaving, despite the departure of all but very few of Egypt's Jews from their country,...Read more",20 August,
478,El Feel El Azraq,2019662,8.9,170 minutes,"The story of Dr. Yehia, a psychotherapist at Al Abbasia hospital,who works in the department of the criminally insane. He finds that his patient is his old friend Sherif Al-Kordy and when he tries to...Read more",28 July,
479,Antar & Beesa,2029160,3.7,90 minutes,"Bisa is an unlucky girl who works as a singer at a nightclub. Her sweetheart, Antar, is a thief who was just released from prison with his two friends. As the three of them kidnap a little girl in...Read more",28 July,
480,Gawaza Meery,2029814,5.3,80 minutes,"The film follows a young girl “Yasmin Abdel Aziz” who is searching for a husband, due to her constant loneliness and feelings of negligence by men. After a lot of attempts she meets two men who fall...Read more",28 July,
481,Soni'a Fi Misr,2025865,5.8,102 minutes,"Through a series of exchanges between friends and relatives, this film explores the artificial relationships that people form through social media sites like Facebook and how these connections...Read more",28 July,
482,El Harb El A'lameya El Talta,2019799,7.3,105 minutes,"At the wax Museum, the statues of the most famous figures of history come to life after 5 pm until 5 am. Shortly before they wake up, Khamis enters the building, and he's chased by the living...Read more",28 July,
483,Bent min Dar Elsalam,2029798,3.8,95 minutes,"Manal is a young girl from Dar Elsalam in Cairo. After graduating from a commercial high school, she gets a job as a maid in an old man's house. But her life turns upside down when the man rapes...Read more",21 May,
484,The Humanoid Park,2030999,0,25 minutes,"Set in the future, the comic artist Mesbah objects to the government's decision to turn criminals and personas non gratas into trees. Five years after Mesbah disappears in mysterious...Read more",1 January,
485,Ma Baad Wada' Hagar Al Asas Le Mashroua' Alhamam Bel Kilo 375,2030377,5.5,18 minutes,Fear is an instinct lying under the skin. But what if it mutates?,18 April,
486,Zarf Sehhy,2026233,3.6,95 minutes,Sayed is a plumber who is in love with Batta. He finds himself in a lot of ironic situations until his daily life is interrupted by a situation that turns his life upside down.,23 April,
487,Nashet fi Haraket Eyal,2030243,4,95 minutes,"The story follows two fresh graduates, one of which dreams of building a factory, and kidnaps a child from a wealthy family to ask for ransom that would help him fulfill his dream. But he then faces...Read more",3 September,
488,Merati w Zogati,2022405,6.6,100 minutes,"A comedy about (Ramez Galal) who marries a girl interested in women's rights , which makes her too busy and lacks interest in her marital life and that leads him to marry another woman, and he...Read more",20 April,
489,El Dassas,2029993,5.4,80 minutes,A horror/comedy about Al-Harrawy family's mysterious house where strange phenomena occur that make the locals believe that it is haunted by ghosts and peculiar creatures.,21 May,
490,Giran El Saa'd,2029347,5.4,88 minutes,"A group of neighbors experience a series of unfortunate events caused by their children, to find themselves in a malaise of complications, but they discover that they have to cooperate in order to get...Read more",16 April,
491,Fatat Al Masna',2026456,7.1,90 minutes,"The film follows Hayam, 21, who works like the rest of the girls in her poor neighborhood in a clothing factory. Her sole and emotions open up to a new romantic experience which she lives as an...Read more",19 March,
492,A Very Hot Day,2029041,0,52 minutes,,1 January,
493,Khetet Jimmy,2021758,5.3,91 minutes,"As a chemist tries to find a way to win back her lover, she decides to invent a chemical solution to compel him to return to her, which lands her in a lot of troubles as she faces many comedic...Read more",29 January,
494,Salem Abu Okhto,2026145,5.4,100 minutes,"Salem is a poor street vendor who has been taking care of his sister since their parents died. After the 25th of January revolution, his life turns into a nightmare when he gets into trouble with both...Read more",15 April,
495,Halawet Rouh,2025632,4.2,101 minutes,With her husband out of the country. Rouh lives in Bolak El Dakror with her mother-in-law. Rouh's neighbors cause her a lot of problems since several of them desire her and want to pressure her...Read more,3 April,
496,Al-Me'addeya,2018918,5.3,89 minutes,"In the poor island of Dahab, a deprived young-man takes the drug dealing road to support himself. Gaining wealth and power, he's now in a dilemma with his old poor friend who wants to meet the...Read more",12 March,
497,Al Mahragan,2027144,3.7,96 minutes,"This feature depicts the new local trend in music called “Mahragan”, through the story of two singers,Alaa Fifti and Sadat, who live in a local area. They face many challenges to prove themselves in...Read more",29 January,
498,La Mo'akhza,2018285,7.2,99 minutes,"A Christian child named, Hani Abdullah Peter is forced to switch to a public school after his private one. At the new school, he claims that he's a Muslim with fear of religious persecution.",22 January,
499,Hasallena Elroa'b,2027056,6.8,108 minutes,Two students take a trip to Ajami in Alexandria to complete some projects for their studying. But things quickly take a strange path when they find that a skull related to their project becomes the...Read more,8 January,
500,Saeid Claquette,2022240,6.8,90 minutes,"On a film set, one of the workers encounters a dilemma when his daughter is kidnapped and the kidnappers ask him to kill the film's lead actor in order to get his daughter back.",29 January,
501,Al Molhed,2010133,4.1,85 minutes,"Based on a true story, the film tells the story of a man who starts entertaining the thought of becoming an atheist. As the son of a known Muslim preacher, the decision incurs the ire of his family...Read more",26 February,
502,wilderness eagle,2039389,6.6,148 minutes,,,
503,Antar Bin Shaaban,2026544,0,in-production,,,
504,All Around Alexandria,2033831,0,Released,,,
505,wilderness eagle,2039389,6.6,148 minutes,,,
506,Zaman Abu Al-Dahab,2037550,3.4,100 minutes,"The film deals with the spread of narcotics, especially chemical, among young people in local neighborhoods, and the consequent change in the behavior of young people to the worst.",1 January,
507,The Mall,2033456,0,Unreleased,,,
508,Men Awel Elsatr,2033320,0,in-production,,,
509,ALAZHAR,2030372,0,Released,,,
510,إن عاش,2040696,0,Released,,,
511,Men Awel Elsatr,2033320,0,in-production,,,
512,Alkahf,2057079,0,23 minutes,,,
513,عدو البشر,2050823,0,Released,,,
514,An Egyptian Woman,2040384,0,85 minutes,Wafaa is a social researcher conducting a study about Egyptian women. She records the results of her research using the hidden camera method in order to document people's reactions to different...Read more,1 January,
515,Elly Beyebb Rabena Yerfaa Edoo Lfou,2033652,3.9,68 minutes,"A documentary that covers the popularity of a new music genre, Mahragant, through the story of some Mahragant singers like Oka, Ortega, and Wezza, exploring how the new genre gained popularity so...Read more",10 December,
516,Garconiera,1521400,6.5,90 minutes,"Set in a single location, an appartment that its owner call the Garconira, a thrilling sequence of events take place between three characters, the diplomat, his muse and a thief breaking into the...Read more",28 December,
517,Waves,2036528,0,70 minutes,"The movie artistically merges real footage, archived shots and animated scenes to deliver a powerful narrative of Ahmed Nour's (director) family stories, his childhood memories of life in Suez,...Read more",15 February,
518,Bayt al toot,2035981,0,70 minutes,"Sara Ishaq is Yemeni-Scottish and spent her childhood in Yemen. At the onset of puberty, she agreed with her father that she should go live with her mother in Scotland. Ten years later, in 2011, she...Read more",9 December,
519,Crop,2034135,5.5,Released,,,
520,Mamluks,2019611,0,90 minutes,"The film depicts the lives of a group of young people who sell themselves into modern-slavery, through the portrayal of a young man who leaves the countryside for the city where he does away with his...Read more",13 February,
521,مترو,2021917,4.8,77 minutes,A thriller about a young woman (Haim Gebai) who finds herself navigating a complex world in which someone is trying to kill her. She does everything she can to save herself and understand the...Read more,14 May,
522,Abl Elrabiea',2025510,3.8,90 minutes,"Before Spring is a film that tackles the three months prior to the Egyptian Revolution of 2011, with special emphasis on the reasons and motives that sparked it as well as the general state of affairs...Read more",1 January,
523,Why Are You Silent,2027425,0,85 minutes,"A portrayal of the lives of Muslims and Christians in Egypt, and the attempts of some infamous minorities to stir discord between them and ignite sectarian strife.",28 September,
524,The Square,2025529,3.3,95 minutes,"An intimate documentary that tells the story of the Egyptian struggle through six different protesters. We see them in Tahrir tents during the first days of the revolution,we share their victory...Read more",25 October,
525,Asrar Aa'eleya,2021036,6.2,110 minutes,"A film that deals with the controversial issue of homosexuality, through the eyes of both homosexual youths and those around them. The film follows a young man with homosexual tendencies who comes...Read more",22 January,
526,Odet El Firan,2026451,4.1,85 minutes,"A movie about fear and how people respond to it, through the lives of 6 separate characters struggling with their fear, from the guy who couldn't express his feelings to his dying father, to the...Read more",7 December,
527,Villa 69,2025730,7.7,108 minutes,"Hussein is a terminally ill architect who enjoys a solitary routine in his old family home, and a variety of female visitors. Not realising his past is about to catch up with him, Hussein's sister...Read more",4 December,
528,Al Hafla,2018829,8.4,92 minutes,"When businessman Sherif (Ahmed Ezz) reports his wife's Sara (Ruby) mysterious disappearance to the police, investigation led by officer (Mohamed Ragab) reveals conflicting testimonies...Read more",23 January,
529,Report,2020668,5,45 minutes,,1 January,
530,"Life, Thou Art Wicked",2018950,5.1,90 minutes,The film depicts the world of drug dealing through showing life in a casino opened by a man as a cover for his drug-dealing business.,3 October,
531,Al Qashash,2021511,4.5,90 minutes,"Set in a local neighborhood, a young man is accused of murder and on the run, he meets a belly dancer that helps him as the relationship between them develops. Through his journey, he gets to know...Read more",12 October,
532,Hatoli Ragel,2021414,6.6,100 minutes,What happens if women controlled the world and men were only there to entertain them? The film deals with a scenario where the roles are reversed in society with men being treated unfairly and reduced...Read more,13 October,
533,Esh Al-Bolbol,2012045,4.1,102 minutes,A comedy about a taxi driver who wants to achieve his goal of becoming a famous singer. He finds himself inside the world of nightclubs and befriends a belly dancer who helps him on his way to stardom...Read more,13 October,
534,Howa Fi Keda,2018480,4.2,95 minutes,"When a girl leaves Upper Egypt for Cairo, she faces a lot of problems that she tries to work through, but she is forced to give up the traditions and customs of her village.",30 January,
535,8%,2025534,5.9,80 minutes,"A comedy about three singers who form a local band, performing in small concerts. In one of their shows in a school, a kidnapping happens and the band is accused of the crime. Situations unfold as the...Read more",12 October,
536,Farsh wa Ghatta,2010388,7.1,90 minutes,"As the 25th of January revolution erupts, a young man joins hundreds of escaped prisoners as they flee into the desert. As he tries to find his way back, he comes in contact with a lot of marginalized...Read more",20 November,
537,Already happened,2024960,0,90 minutes,,,
538,Qalb El-Assad,2005518,6.6,116 minutes,"This action thriller set in a dark criminal underworld revolves around the tough, self-reliant Faris, who was kidnapped as a child and raised at the circus among the lions and the tigers. Faris now...Read more",7 August,
539,Tom wa Jimmy,2007223,5.4,88 minutes,"The story of a grown man who is developmentally disabled. Despite having the physical appearance of an adult, his mental capacity is that of a 7-year-old child. As he goes through various situations,...Read more",7 August,
540,El Brinseesa,2020280,4,90 minutes,"After a poor girl is forcibly married off by her older brother, she has an affair with a guy who promises to marry her if she gets a divorce, only to abandon her afterward. Forced to work as a...Read more",7 August,
541,Nazareyet Amity,2018931,5.7,109 minutes,"A famous talk show presenter gets into a number of comedic situations due to his growing fanbase. When the writer for his show falls for him, she seeks the advice of a men's expert to get him to...Read more",7 August,
542,31/12,2016632,4.7,75 minutes,This action-thriller revolves around a police officer (Edward) who begins to investigate a businessman as a suspect in a murder case when he discovers that another police officer is somehow tied up in...Read more,12 June,
543,Fill & Give Him,2021924,0,Released,,,
544,El Haramy wel Abeet,1294243,7.4,100 minutes,"Fathi, a foolish man down on his luck is befriended by Salah, who lost his eye in a brawl. Little does he know that Salah is scheming to steal his eye and has enlisted the help of his nurse friend...Read more",22 May,
545,Boussy Cat,2020082,4.1,95 minutes,"The beautiful Boussy owns a hair salon in a poor neighborhood in Cairo. Her wild persona creates problems for her sister whose boyfriend's family disapproves of their marriage. All the while,...Read more",22 May,
546,Kalby Dalily,2017531,5.9,105 minutes,"A police officer from Upper Egypt is transferred to Marina, where he runs into some problems. As he tries to prove himself to his boss, he starts to fall for a girl who is his exact opposite in...Read more",7 August,
547,TaTah,2019606,7.1,110 minutes,"This satirical comedy revolves around Tatah, a maladjusted, poor man from Abdeen who befriends a woman online with help from his nephew. Just as his life starts to change, the woman is kidnapped and...Read more",5 May,
548,Sameer Abu Elneel,2018696,5.4,105 minutes,Samir Abo El-Nil (Ahmed Makki) lives in a local neighborhood where he gets into problems with its residents because of his stinginess . When his cousin Hussein Abo El-Nil (Hussein Al-Imam) leaves him...Read more,24 April,
549,El Sheta Eli Fat,2005249,6.9,92 minutes,"Set during the Egyptian revolution of 2011, this drama moves between the interlocking lives of a state security officer, a television anchor, and a computer engineer with ties to the youth who...Read more",20 March,
550,kobri el khashab,2020188,0,in-production,,,
551,Febrayer Al-Aswad,2007825,8,117 minutes,"Hassan is a college professor and his brother Tarek is a chemist who ends up working at a pickle factory. When tragedy strikes, both brothers consider either leaving the country with their families or...Read more",6 March,
552,Ala Gothety,2018689,5.6,108 minutes,"Raoof (Ahmed Helmy) is an interior designer who falls into a coma, his soul gets suspended between the two worlds. While floating around, he discovers what his loved ones truly think of him and tries...Read more",16 January,
553,The Places of Silent,2029316,0,Unreleased,,,
554,The night of Eid,2020930,0,in-production,,,
555,The Black Dress,2041981,0,Released,,,
556,Something Wrong,2041171,0,Released,,20 June,
557,روليت,2017801,0,in-production,,,
558,Something Wrong,2041171,0,Released,,20 June,
559,Primus Stove,2033057,0,30 minutes,,1 September,
560,The Black Dress,2041981,0,Released,,,
561,The Places of Silent,2029316,0,Unreleased,,,
562,Moondog,2067392,0,136 minutes,,,
563,تاج السريان,2045085,0,Released,,,
564,Knocking on the Doors,1263843,5.6,45 minutes,"A film about the complicated relationships between a group of people of different backgrounds, asking a number of big questions over its five acts.",1 January,
565,The Three Disappearances of Soad Hosni,2037198,5.8,68 minutes,,6 May,
566,I'm Going to Space,2019901,5.3,7 minutes,"A short film that made it to the Cairo 48 Hour Film Project, featuring a young man whose sole purpose in life is to travel to space. As he decides to finally fulfill his dream, he visits friends and...Read more",1 January,
567,Wa Baad El Tofan,2003922,5.4,100 minutes,A psychologist conducts a study on a group of corrupt ministers to uncover the psychological reasons that led them to this path. As she follows the different stages of their lives and the events that...Read more,18 December,
568,Al-Khoroug Lel-Nahar,2018955,6.9,96 minutes,"A struggling poor family at one of Cairo's local neighborhoods, where a disabled father, a nurse mother, and daughter having problems expressing her feelings ,after becoming thirty years old and...Read more",23 April,
569,Omar wa Salma 3,1416070,7,96 minutes,Omar and Salma learn that their daughters have been kidnapped by a mafia cell based in South Africa compelling the pair to undergo a series of adventures in that part of the world.,11 January,
570,Al-Maslaha,1644198,8.2,114 minutes,"Police officer Hamza requests his transfer to the Anti-Narcotics Administration, following the killing of his brother by Suleiman Al-Muslimi. He monitors his brother Salem, the big drug dealer, who...Read more",16 May,
571,Ana wel Agenda,2004777,0,47 minutes,,16 May,
572,In The Shadow Of A Man,2018834,5.7,64 minutes,"Four women talk about how is it to be a woman in Egypt, a country in the wake of a revolution, they also speak their aspirations and fight for the future.",12 February,
573,Saeat wans,1390468,8.7,126 minutes,"Based on the Ayyat train accident that killed 361 people in 2002, this ensemble drama delves into the intense human stories of the passengers in a third-class coach car during the hour and a half...Read more",3 October,
574,Such A Reviving Apartment,2020682,5.8,46 minutes,,22 May,
575,Harag we Marag,1275307,5.8,87 minutes,"This social fantasy revolves around a love triangle as Zaki and Mounir try desperately to win the heart of Manal, while all three struggle to realize their dreams and meet their basic needs in spite...Read more",5 June,
576,Met'eb and Shadya,2017768,3.1,82 minutes,"Met'eb and Shadya meet at an Islamic saint commemorating celebration (mawlid). As they face the obstacles of everyday life together, their chance encounter blossoms into young love.",7 June,
577,Haflet Montasaf El-Leil,1178712,5.8,85 minutes,"Shahd throws a party in her villa and invites many of her friends, everyone is surprised by strange things that starts happening, as Shahd locks them inside the villa to find out the woman who had an...Read more",26 December,
578,Asham,2012422,5.8,87 minutes,"Set against the backdrop of the unrest during the pre-revolution period of January 25, 2011, by following the stories of six relationships in different stages that express ambition, happiness and...Read more",19 June,
579,Saboba,2016635,5.2,97 minutes,"The events revolve around Sayed Gharib and his daughter, who lead a tight gang, and decide to rob a bank. But as things go as planned, they find out that there's a traitor among them, which...Read more",28 December,
580,Abdo Motah,1334680,5.4,90 minutes,"Abdo (Mohamed Ramadan) is a thug working in the drug trade after losing his parents, using force to impose royalties on the people of the neighborhood, while Angham (Houria Farghali) is looking to...Read more",24 October,
581,Mohema Fi Film Adeem,2018084,4.3,85 minutes,"A fame-seeking young man who considers himself a great talent imagines that he is spending his evenings with the late singer Abdel Halim Hafez who wants him to join him in a play. All the while, his...Read more",24 October,
582,February the 30th,2018558,7.4,95 minutes,"Nour and Nader can't escape their bad luck. Nour, a news correspondent, always ends up stumbling into unlucky situations, and Nader runs into trouble wherever he goes. Suddenly, unexpected events...Read more",24 October,
583,Al-Anissa Mamy,2017313,5.6,100 minutes,Nabila has only one persistent concern in her ...Read more,24 October,
584,Gowa El Le'ba,1210825,4.3,109 minutes,"This thriller revolves around the director of an ad agency who is accused of involvement in a murder, as he sets out to clear his name.",24 October,
585,The Pinter,2018290,6.4,Released,,,
586,Baad Al Mawkea,2005960,6.5,116 minutes,"Reem is a young political activist who works for an advertisement company. As she tries to uncover the truth behind the incide of the Battle of the Camel, she accompanies her friend Farah to Nazlet Al...Read more",19 September,
587,Papa,2008910,5.4,110 minutes,"The story of Dr. Hazem, a gynecologist, as he crosses paths with the interior designer Farida and they soon get married, only for him to learn that he is sterile, the thing that encourages him to...Read more",19 August,
588,Jews of Egypt,2012060,6.8,90 minutes,"This documentary, from director Amir Ramsis, presents a nuanced picture of the Egyptian Jewish community in the decades leading up to the 1956 war. An examination of changing identities and how a...Read more",27 March,
589,Tita Rahiba,1064773,6.3,100 minutes,"After his grandfather's death, Raouf's domineering grandmother returns to Egypt, and her stay with her grandson stands in the way of his aspirations. How will he cope?",19 August,
590,Mr. and Mrs. Oweis,2009856,4.4,110 minutes,"The story of a reckless playboy who squanders his late father's wealth, the thing that urges the mother to marry him off. However, he rejects every possible bride, until he crosses paths with a...Read more",19 August,
591,The Bar,2008377,3.2,95 minutes,"The story of four girls who work in a bar, including the problems they face, the disputes they have due to their different personalities and backgrounds, and their troubles with the guy who has...Read more",19 August,
592,"Ayoun el Horeya, Sharia el Moot",2017059,0,Released,,3 December,
593,Ghesh El Zawgeya,2006532,6.7,110 minutes,Salem is a playboy known for his multi-womanizing. He has a good relationship with the manager of his father's company. Salem is so spoiled that he can get as much money as he wants and spend it...Read more,20 June,
594,Fil Tariq Le West El Balad,2012371,0,53 minutes,,15 March,
595,Helm Aziz,2006903,7.6,110 minutes,"Aziz is a businessman who seeks to achieve his dreams at any cost, using his power and influence to further his interests without a care about anyone or anything. But fate lands him in a situation...Read more",6 June,
596,Mosawer Qateel,2006874,7.2,95 minutes,"A photojournalist bears witness to a murder and takes photos of the incident, only to find himself involved in the crime. When he becomes a suspect, it's up to him to prove his innocence.",5 December,
597,El Almany,2008130,4.7,130 minutes,"A registered felon, known as Al-Almany, lives in the slums and tries to find his way out by any means necessary, including criminal acts and harassment.",26 June,
598,Hasal Kh'eer,2010446,5.2,100 minutes,"Qamar is a belly dancer who moves into building inhabited by several families. When she moves in, she is bombarded by the husbands' attention. The husbands are Fawzi, a tax authority employee, an...Read more",30 May,
599,Pantalon Juliet,2011165,7.3,81 minutes,"A young man becomes jealous when his girlfriend wears tight trousers, which becomes the cause of all their differences, and through that idea it addresses the problems that happen between couples in...Read more",11 April,
600,Hazz Sa'id,2008207,5.5,106 minutes,"Sa'ied is trying to wed his fiancé Samah but he has trouble finding an apartment. When he finally reserves an apartment in a government project, the 2011 revolution breaks out and he is unable to...Read more",21 March,
601,Banat ElA'm,1173494,7.3,100 minutes,"Three girls live with their grandmother, are looking to sell the palace in which they live, but their grandmother warns them against it. They get cursed and turn into three men, and throughout the...Read more",26 January,
602,My Brother the Devil,2009289,0,111 minutes,The film concerns two brothers (Mo and Rashid) who become Arab-British gangsters in London. They have exceptional courage that allows them to keep well in the wars of the streets.,9 November,
603,Geddo Habiby,1411403,6.6,120 minutes,"After she learns that her grandfather's health condition is not well, Fekriya returns to Egypt hoping to enjoy his wealth after she lost her money at the stock market. They get into comedic...Read more",1 February,
604,Reporting A Revolution,2009268,6,62 minutes,,9 February,
605,Reklam,2005087,4.2,107 minutes,"Shadyia is forced to marry a drug dealer, and from here her life begins to decline after her husband is arrested. She meets three other girls ,Dawlat, Shukryia and Suzy, who are also going a dark...Read more",15 February,
606,Bartita,1373354,6.7,82 minutes,The film revolves around a girl who suffers psychological problems because of her family. She meets a crew of characters who help her change her life.,24 October,
607,Lamah albasar,1476116,6,90 minutes,"Fouad is a very ambitious young man who meets the experienced and much older businessman, Gaber. Fouad becomes certain that Gaber will help him fulfill his dreams and goes with him to a trip but he...Read more",20 June,
608,الحرامية,2010476,0,Unreleased,,,
609,Illa Khamsa,2003806,4.5,92 minutes,"A young man from a wealthy family loves a poor girl and decides to marry her; but his mother refuses and he marries his cousin. He agrees with his sweetheart, who was also married to congratulate each...Read more",1 January,
610,هى بئت كده,2009803,0,in-production,,,
611,White Chocolate,2010553,0,in-production,,,
612,White Chocolate,2010553,0,in-production,,,
613,White Chocolate,2010553,0,in-production,,,
614,erwst albahr,2022409,0,53 minutes,"A social drama that depicts the difference in thinking between parents and their children and the restrictions imposed on the latter, through the story of young Laila who gets forcibly married to a...Read more",5 December,
615,Shaqawet Banat Shubra,1799229,4.6,90 minutes,"Two women work at a hospital owned by a corrupt businessman who trades in human organs, and tests new medications on patients. When one of the doctors discovers this, she attempts to inform the...Read more",2 January,
616,هى بئت كده,2009803,0,in-production,,,
617,الحرامية,2010476,0,Unreleased,,,
618,Illa Khamsa,2003806,4.5,92 minutes,"A young man from a wealthy family loves a poor girl and decides to marry her; but his mother refuses and he marries his cousin. He agrees with his sweetheart, who was also married to congratulate each...Read more",1 January,
619,A cry of regret,2010407,0,in-production,"""Nagwa Fouad"" is playing the role of a mother who is traveling to the pilgrimage, leaving her young daughter with her decay and ethical brother. As a result of careless the young girl was ab...Read more",,
620,A cry of regret,2010407,0,in-production,"""Nagwa Fouad"" is playing the role of a mother who is traveling to the pilgrimage, leaving her young daughter with her decay and ethical brother. As a result of careless the young girl was ab...Read more",,
621,Arweqat El Kasr,2009027,0,Unreleased,"It's a narrative documentary movie that reveals Mubarak's last days as an Egyptian president, illustrating all the glamorous revolution events starting from the 25th of January up till the...Read more",,
622,هى بئت كده,2009803,0,in-production,,,
623,I'm The Director,2040313,0,Released,,,
624,روكسى,2008799,0,pre-production,,,
625,"Settou Zad, My first passion",2008578,0,82 minutes,"The movie tells the story of the artistic life of ""Shahrazad"" through the details provided by her granddaughter.",17 April,
626,Azazeel,2011068,5.1,120 minutes,"The story of a Sheikh and his three disciples as he approaches death and advises the three of them to stay at his apartment for 30 days following his death. At the apartment, however, the devil Azazel...Read more",22 April,
627,Asmaa,1849452,8.2,96 minutes,"When Asmaa contracts AIDS, she refuses to surrender to her illness and rather chooses to fight, whether by seeking treatment or by inspiring hope in those afflicted by the same disease.",7 December,
628,al-Share3 Lana,1453872,4.5,47 minutes,This title discusses the climate of corruption which was prevalent prior to the revolution. Screenwriter Nasser ‘Abd Al Rahman had concluded writing the script some time ago so that director Khaled...Read more,,
629,SIRA,2008275,0,Released,,24 November,
630,Fokak Menny,2005450,3.5,93 minutes,"Walid is a college student who wants to join the Arts Academy. But his father, a diplomat, wants him to go abroad to complete his political and economics studies. As his dreams go against his...Read more",29 June,
631,Al-Fgomi,1069375,6.6,95 minutes,"A biography about Ahmed Fouad Negm, the famous poet of the Egyptian colloquial, depicting the important historical and revolutionary stages, from his struggle fighting the English occupation and...Read more",1 June,
632,Cima Ali Baba,2006732,5.9,120 minutes,"The first part of the moves covers the story of Hazaloum who impersonates the identity of the leader of the planet Revo who looks just like him. In the second part, a rooster tries to protect the farm...Read more",2 November,
633,waiting,2017379,0,Released,,,
634,"The Virgin, the Copts and Me",2012325,0,85 minutes,"A non-believer born in Egypt and raised in France by his Copt parents, filmmaker Namir Abdel Messeeh has a complicated relationship with his ethnoreligious heritage. The Virgin, The Copts, And Me is...Read more",12 May,
635,Bulaq,2011520,0,25 minutes,,5 September,
636,1/2 Revolution,2008574,0,5 minutes,,1 December,
637,Rad Fe'l,1198595,5.8,90 minutes,"Officer Hassan investigates a murder, using the help of forensic doctor Saad al-Dumairi, who confirms that there is no criminal suspicion in the death, then several murders happen in the same...Read more",28 March,
638,Ala Wahda Wa Nos,2008157,3.5,80 minutes,"Horia's (Sama El Masry) aunt's husband tries to rape her, and she runs away. She works as a journalist, and the newspaper editor, Marwan, forces her to participate in questionable acts. At...Read more",14 March,
639,فيها حاجة بنا,2009821,5.8,9 minutes,,10 December,
640,THE WAY BACK,2009824,5.8,38 minutes,,21 July,
641,I am Asser,2009606,5.6,Unreleased,,,
642,Proud To Be An Arab,2009611,0,Unreleased,,1 May,
643,Sariqcho,2009616,6.4,Unreleased,,6 February,
644,Book of the Entry,2009260,0,7 minutes,,1 January,
645,Pay back,2009241,4.7,15 minutes,,27 October,
646,Bard Yanayer,2009222,6.4,12 minutes,,1 October,
647,The Doll,2009227,0,7 minutes,,22 July,
