,CastId,MovieId,CastRole
0,1101153,2035103,Director
1,1993644,2035103,Director
2,1033316,2035103,Writer
3,1029334,2035103,Cast
4,1035984,2035103,Cast
5,1110017,2035103,Cast
6,1983857,2035103,Cast
7,1035569,2035103,Cast
8,1107812,2035103,Cast
9,1023754,2035825,Director
10,2080763,2035825,Director
11,2003159,2035825,Writer
12,1106913,2035825,Cast
13,1014950,2035825,Cast
14,1100472,2035825,Cast
15,2005782,2035825,Cast
16,1100301,2035825,Cast
17,1025702,2035825,Cast
18,1002388,1077548,Director
19,1100295,1010347,Director
20,2013036,1010347,Director
21,2074475,2032248,Director
22,2080257,2032248,Director
23,2013122,2032248,Writer
24,1026639,2032248,Cast
25,1101223,2032248,Cast
26,1089793,2032248,Cast
27,2015808,2032248,Cast
28,1100848,2032248,Cast
29,1038960,2032248,Cast
30,1026173,2034384,Director
31,1110406,2034384,Director
32,1033316,2034384,Writer
33,1010983,2034384,Cast
34,1005695,2034384,Cast
35,1983002,2034384,Cast
36,1110027,2034384,Cast
37,1055941,2034384,Cast
38,1106793,2034384,Cast
39,1993430,2034041,Director
40,2091529,2034041,Director
41,1993430,2034041,Writer
42,2078213,2034041,Writer
43,1020509,2034041,Cast
44,1093917,2034041,Cast
45,1077845,2034041,Cast
46,1084040,2034041,Cast
47,1019067,2034041,Cast
48,1995597,2034041,Cast
49,1102229,2032817,Director
50,1025881,2032817,Director
51,1087034,2032817,Writer
52,1112025,2032817,Writer
53,1103043,2032817,Cast
54,1077845,2032817,Cast
55,1100991,2032817,Cast
56,1085016,2032817,Cast
57,1056613,2032817,Cast
58,1090208,2032817,Cast
59,1072283,2032873,Director
60,1977527,2032873,Director
61,1072283,2032873,Writer
62,1044776,2032873,Cast
63,1069429,2032873,Cast
64,1023162,2032873,Cast
65,1025622,2032873,Cast
66,1100677,2032873,Cast
67,1082123,2032873,Cast
68,1100099,2030742,Director
69,1100099,2030742,Writer
70,1082130,2030742,Cast
71,1094402,2030742,Cast
72,2014253,2030742,Cast
73,2020091,2030742,Cast
74,2072238,2030742,Cast
75,1026190,2030742,Cast
76,1104856,2032499,Director
77,1979875,2032499,Writer
78,2056532,2032499,Cast
79,2056533,2032499,Cast
80,2056531,2032499,Cast
81,1106505,2032499,Cast
82,2075002,2032499,Cast
83,1007377,2032499,Cast
84,2056725,2032525,Writer
85,2073842,2032459,Director
86,2073842,2032459,Writer
87,1983847,2032459,Cast
88,1049333,2032459,Cast
89,2073843,2032459,Cast
90,2055920,2032459,Cast
91,2016542,2032459,Cast
92,1014426,2032459,Cast
93,1091891,2036950,Director
94,1978893,2036950,Cast
95,2082449,2036403,Director
96,2082448,2036403,Director
97,2078103,2034715,Director
98,2078103,2034715,Writer
99,2019809,2034715,Cast
100,1976865,2034715,Cast
101,2015493,2034715,Cast
102,1060239,2034715,Cast
103,2078097,2034715,Cast
104,1111133,2034715,Cast
105,2015567,2036658,Director
106,2109218,2036658,Writer
107,2110642,2036658,Writer
108,2015567,2036658,Cast
109,2027993,2036658,Cast
110,1007480,2036658,Cast
111,2109212,2036658,Cast
112,1020249,2036658,Cast
113,2017273,2036658,Cast
114,2011222,2040967,Director
115,2011222,2040967,Writer
116,2055893,2040967,Cast
117,1020249,2040967,Cast
118,2021734,2046701,Director
119,2021734,2046701,Writer
120,2009699,2046701,Writer
121,1977738,2046368,Director
122,1977738,2046368,Writer
123,2028057,2046368,Cast
124,1977738,2046368,Cast
125,1107642,2036338,Director
126,1107642,2036338,Writer
127,1722256,2036338,Cast
